name,description,website
HireAthena,"HireAthena is a tech-enabled, U.S.-based, all-in-one back office solution focused on SMBs, high-growth startups, and micro-funds.",hireathena.com
Sharper Shape Group,"Sharper Shape provides a transformative T&D inspection solution that adapts to each utility's needs, empowering utilities to stay sharper and stay better.",sharpershape.com
ThreeKit,Threekit helps guide customers to the perfect products faster and enable them to visually configure and purchase with ease.,threekit.com
Atomic Industries,Combining technology and manufacturing to create a world where physical goods can be produced at the speed of software.,atomic.industries
"Fuisz Video, Inc.","Fuisz turns any video into an interactive experience, allowing the viewer to touch, hover or click on any object to discover new content. This can include product information, innovative branded experiences, direct links to company websites and the ability to buy the item. Fuisz works with the world’s top advertising agencies and global brands such as Wal-Mart, Microsoft, Victoria’s Secret, Gillette and Target to unlock the video experience, delivering significant increases in engagement that maximize return on digital advertising spend. The company is headquartered in Santa Monica.",
"IGNITE IMPULSE, INC.","A digital agricultural enhancing service, Ignite impulse offers a variety of services",igniteimpulse.com
OEwaves Inc.,"OEwaves provides award-winning solutions with opto-electronic systems, microwave photonic products, ultra-narrow linewidth lasers and more.  Proprietary products in support of communication, sensor, RADAR, LiDAR, stable clocking, and test of measurement systems for commercial and military markets.",oewaves.com
Hubly Inc,"Hubly allows you to unleash the power of effortless financial advisory. Hubly is the key to transforming your financial advisory firm's household experience.",myhubly.com
Avstera Therapeutics Inc.,"Operator of a biotechnology company intended to address the significant needs of advanced cancer patients with limited or no treatment options. The company's lead programs are geared towards macrophage differentiation in maintaining overall anti-tumoral responses and stabilizing the tumor microenvironment or developing resistance to immunotherapy, enabling cancer patients to access therapies targeting solid tumors.",avstera.com
RapidValue,"Provider of end-to-end mobility, Omni-channel, IoT and cloud technology services intended to improve enterprise technical issues. The company's focus on digital transformation by modernizing legacy systems to provide services such as field service and procurement management among others as well as access to corporate data, enabling businesses to efficiently increase productivity, improve sales and achieve a higher return on investment.",
Monograph,"A modern firm management tool for architects and engineers: a complete product for managing tasks, tracking time, and invoicing clients.",monograph.com
X-energy,"X-energy is an advanced nuclear reactor & fuel company. We develop 
Generation IV high-temperature gas cooled nuclear reactors (SMR) & TRISO 
fuel to power them.",x-energy.com
Assured Allies,"Developer of a longevity assurance platform designed to tackle the financial strain placed on families as a result of aging. The company's platform uses predictive algorithms and preventive medical interventions and offers psychosocial assessment, an individualized aging plan with recommended support services, and continuous ally support, enabling insurance companies to provide support to policyholders during old age.",assuredallies.com
VergeSense,"The leader in occupancy intelligence offering a powerful platform for analytics, insights, and AI-driven recommendations to optimize your workplace.",vergesense.com
Prellis Biologics,"Developer of a bioprinting technology designed to recreate and engineer human tissues in vitro. The company's technology precisely reproduces the human immune response through the creation of lymph node organoids and can exploit fully human immune responses for a variety of applications including antibody discovery, immunogenicity assessment, and tumor-immune models, improving patients' lives by addressing challenges commonly faced in early-stage drug discovery and translational pharmacology.",prellisbio.com
BlockSpaces,An automated Bitcoin-based collateral optimization platform providing robust risk mitigation and seamless data capture for efficient post-trade operations.,blockspaces.com
ReNAgade Therapeutics,"ReNAgade, a part of Orna Therapeutics",renagadetx.com
Dispatch,"Financial advisors use Dispatch to automate onboarding, instantly open accounts, and continuously keep client data in sync across their tech stack.",dispatch.io
BlueRock Therapeutics,Transforming disease treatment through cell and gene therapy. Join us at BlueRock to discover our cutting-edge science & clinical programs.,bluerocktx.com
Vectara,The Trusted Platform for RAG,vectara.com
Brightline,"The mental health care your family needs, from experts you can trust. Whether it’s virtual therapy, psychiatry, or coaching — Brightline will work with you to find the right support for your kids & teens.",hellobrightline.com
CinRx Pharma,CinRx Pharma invests in and expertly guides drug candidates through development with a focus on therapies with the potential to transform treatment and that significantly improve patients’ quality of life.,cinrx.com
CyberMDX - A Forescout Company,"Developer of a cloud-based cybersecurity platform intended to prevent cyber attacks and potential risks associated with patient safety and hospital operational continuity. The company's platform provides continuous discovery for medical device security in real-time, isolates asset-based threats with micro-segmentation policies and offers agentless asset identification and inventorying, thereby enabling clients to achieve security, visibility objectives and detect malicious activity in device behavior or network hygiene.",
Kard,Kard’s rewards-as-a-service API drives loyalty for every cardholder and shopper with easy setup and access to a 50M+ Gen Z and Millennial audience.,getkard.com
Tropic,"Tropic unifies your spend data and processes, delivering real insights and decisive action. Go beyond spend management with AI agents and expert support to drive real business impact.",tropicapp.io
nBand Communications,"nBand Communications, a broadband wireless technology company, is a leading innovator in programmable broadband wireless technology, bringing the dream of an all-software broadband radio closer to reality. nBand's advanced programmable communications processors supply the performance and flexibility needed by wireless broadband manufacturers who wish to come to market quickly with innovative and field extendable products, including wireless LANs, fixed broadband wireless access, universal wireless gateways and cellular base stations. nBand offers the ideal solution for OEMs looking for the benefits of a software alternative to current hardware implementations.",sedo.com/search/details
Canalyst,"4,000+ financial models with every KPI that matters, built and updated by our team of analysts.",canalyst.com
CGE Energy,"Cge Energy is a Brighton, Michigan-based company in the energy industry founded in 1989.",cgeenergy.com
"Adjuvance Technologies, Inc","Developer of a biopharmaceutical platform designed to improve health and save lives through the development of vaccine adjuvant. The company's platform is based on saponex products that are critical components to many vaccines for multiple indications in infectious disease, oncology, neurobiology, substance abuse, and allergy, enabling patients to improve their immune systems.",
IMAJION,"The only mobile BIM viewer toolkit that combines precise indoor positioning 
and reality capture with large-scale BIM data.",sitelink.ai
mozaic.io,Mozaic is the creator-first payments platform that seamlessly automates revenue sharing for creators and businesses.,mozaic.io
FleetNurse,"Optimize Your Internal Workforce and Spend Less Time Finding Shift Coverage Integrate Cascade FN's intelligent AI into your current scheduling software and drastically reduce the time and expenses it takes to find the right healthcare staff when you need them most. Learn More Let's Connect https://cascadefn.com/wp-content/uploads/2024/04/CascadeFN-Intro-Video.mp4 OFFICIAL PARTNERS OF Integration Communication Cost-Saving External Pool Time",cascadefn.com
My Intelligent Machines Inc.,"Developer of a biology software designed to help develop efficient and personalized medicine and agriculture systems. The company's software markets augmented intelligence systems packaged in a software-as-a-service, to support patient stratification and the selection of therapeutic targets and biomarkers, both required to develop more efficient and personalized therapies, enabling life-science companies to use their big data and artificial intelligence to maximize food and drug production.",
Hopkins Bellemeade,Hopkins Bellemeade is a construction company.,
"Kriya Therapeutics, Inc.",Kriya is a biopharmaceutical company developing gene therapy to address common diseases that impact millions of people worldwide. Learn more.,kriyatherapeutics.com
"Amytrx Therapeutics, Inc.",Amytrx Therapeutics is a clinical-stage biopharmaceutical company developing novel peptide therapies for the treatment of inflammatory diseases.,amytrx.com
Fennel,"Fennel is a mobile investing app that helps you invest, engage, and make change.",fennel.com
Aelita Software,"Aelita Software provided software and services for network management and security administration, including applications for data migration, server consolidation, and directory management.",
Renal Solutions,"Developer of an integrated medical device designed for sorbent hemodialysis treatment. The company's devices offer clinical care model for patients affected by chronic and acute kidney failure, enabling healthcare practitioners to provide convenient and flexible treatment options and incurring sorbent-based dialysis for renal care.",techevolution.com
Highway Benefits,Quickly and easily offer your employees tax-free employer student loan repayment and tuition reimbursement benefits with Highway. Get started today.,highwaybenefits.com
FI Navigator Corporation,"Discover a data analytics platform with new data, insights and benchmarking for the banking vertical including banks, credit unions and their vendor partners.",fi-navigator.com
Air Space Intelligence,"We serve critical industries, the U.S. Government, and its allies by predicting, simulating, and optimizing their most complex operations.",airspace-intelligence.com
Porosity,"Porosity provides intuitive, field-ready compliance solutions tailored to the needs of oil and gas operators. Designed for every inspection, every task, every time, Porosity’s modular platform delivers reliable sustainability solutions for Leak Detection and Repair (LDAR), maintenance, methane emissions tracking, and more.",porosity.com
Spring Science,Giving Scientists AI Superpowers,springscience.com
Laudable,"Get hundreds of customer testimonials, quotes, 5*G2 reviews, and advocates, in 80% less time, with Laudable's AI. Mine the data you already have in Gong and Chorus call recordings for customer evidence and proof.",laudable.com
Gestalt,"Gestalt provides software, industry-leading connectivity, and support services to empower pathologists, generate objective and reproducible results, increase productivity and efficiency, and significantly reduce the diagnostic error rate for laboratories of all sizes.",gestaltdiagnostics.com
"ReGelTec, Inc","ReGelTec is developing HYDRAFIL, a next generation treatment for degenerative disc disease.",regeltec.com
BlackFog,BlackFog provides on device ransomware prevention using anti data exfiltration (ADX) technology.,blackfog.com
Akiri,This domain may be for sale!,akiri.com
Retrium,Retrium powers better agile and scrum retrospective meetings to enable teams to continuously improve faster.,retrium.com
Resurface Labs,"Optimize operations with cutting-edge SIEM, detailed log management, and robust API security solutions.",graylog.org
"Ojjo, Inc.","Developer of solar foundation system designed to optimize solar-specific load conditions. The company's system provides efficient use of the material as the loads are resisted by the strong axes of the structure leading to a reduction in steel and optimized structural configuration, enabling businesses to minimize embedment depth and reduce sub-surface risk.",nextracker.com/foundations
AffaMed Therapeutics,To Help More Patients Access Innovative Treatments,affamed.com
CoinBanken,"CoinBanken is a pioneering company at the forefront of the rapidly evolving world of decentralized finance (DeFi). With a focus on providing cutting-edge DeFi solutions for businesses, CoinBanken harnesses blockchain technology to empower enterprises with advanced financial tools and services.",coinbanken.com
1Konto,"1Konto provides a secure, reliable, and seamless solution to access, trade and settle digital and fiat currencies at the best price through our Web App, API, and OTC desk.",1konto.com
Connected Data,"Developer of social storage appliances. The company provides products enabling consumers, professionals and small businesses to securely group, share and protect data.",nexsan.com
Soteria Biotherapeutics,"Developer of next generation of switchable bispecific T-cell engagers intended to treat cancer patients with solid tumors. The company's platform provides small molecule-dependent activation of bispecific antibody therapies, enabling healthcare professionals to provide safer and more efficacious treatments through pulsatile activity and reduced side effects.",soteriabiotherapeutics.com
BioPoly,"Discover BioPoly, a leader in innovative medical solutions with advanced biomaterials for orthopedic applications and patient care.",biopolyortho.com
AI Dynamics,株式会社AID,aidynamics.com
Cove,Explore how Cove revolutionizes property management by consolidating Tenant Experience and Building Operations into one powerful platform.,cove.is
MSBAI ,"Developer of AI-powered simulation software designed to automate complex workflows. The company's platform leverages advanced AI techniques to streamline processes, and reduce human intervention, enabling clients to improve innovation in various industries, including aerospace, automotive, and manufacturing.",microsurgeonbot.com
Together AI,Run and fine-tune generative AI models with easy-to-use APIs and highly scalable infrastructure. Train & deploy models at scale on our AI Acceleration Cloud and scalable GPU clusters. Optimize performance and cost.,together.ai
AppStream,"AppStream è il tuo punto di riferimento per scoprire e scaricare le migliori applicazioni mobile. Trova recensioni, anteprime e offerte esclusive per iOS e Android.",appstream.it
DeepBrain AI,"Create AI-generated videos quickly using simple text. You can make any idea into video with Deepbrain AI's Online AI video generation tool.",aistudios.com
FX HedgePool,FX HedgePool is an award-winning matching engine for mid-market execution of FX swaps.,fxhedgepool.com
3T Biosciences,"Developer and provider of drugs and medical research and development facilities intended to offer cures for cancer-related diseases. The company's drugs and facilities incorporate synthetic biology and machine learning to discover novel targets to cure cancer and other T-cell-mediated diseases, enabling doctors to provide patients with various cancer-related treatments.",3tbiosciences.com
Cotherix,Developer of therapeutic products for the treatment of cardiopulmonary and other chronic diseases. The company offers a inhalation solution for the treatment of pulmonary arterial hypertension in patients with NYHA Class III or IV symptoms.,
PreAct Technologies,"Developer of a pre-collision automotive safety technology designed to reduce fatalities and injuries from automotive crashes. The company's technology leverages ADAS and autonomous vehicle sensors and infrastructure to predict and prepare a vehicle and its occupants for an imminent collision, enabling passengers to stay updated about the status of the vehicles and avoid unforeseen accidents.",
Logiwa,"Cloud native SaaS WMS software powered by AI for high-volume omnichannel fulfillment—easily scale to meet the growth demands of B2B, DTC, and 3PL warehouse operations.",logiwa.com
SKAEL,"Developer of a no-code digital workforce platform intended to help companies to automate across disparate applications, data sources, and documents. The company's platform offers a plug-and-play integration into all the back-end workflow and approval systems, and automatically clears, stores and benchmarks data across peers while layering out predictive and prescriptive insights, enabling users to eliminate buyer-seller human error, bias, delays and associated risks while fully automating repetitive business functions.",
Debut,"Not another synthetic biotech company. We use science, strategy and creativity to build big businesses that put humanity ahead.",debutbiotech.com
Eyebot,"Our mission is to make vision care accessible to everyone, everywhere, equally - at the touch of a button. The demand for vision care is growing fast and eye doctor availability is not keeping up.",eyebot.co
Outplay,Outplay is an all-in-one multichannel sales engagement platform that helps sales teams close more deals and significantly increase revenue. 14-day free trial.,outplay.ai
Lower,"""Best mortgage ever."" Technology and people work together to create a simple, connected experience—led by your very own expert. It’s the perfect balance to make sure this decision” is your best one ever.",lower.com
"System 9, Inc.",System 9,system9.io
ChartHop,"HRIS, Headcount Planning, Compensation, Performance, Engagement, and more. Lead with business data. Empower your team with AI. Plan for every future.",charthop.com
Zmanda,"Developer of open source backup and recovery software designed to backup data from live applications and databases directly to a storage cloud. The company's software seamlessly coordinates globally distributed backup servers and orchestrates distributed backup and recovery across hybrid cloud platforms, enabling clients to reduce data management costs and protect enterprise data.",zmanda.com
Afficiency,Afficiency - an insurtech transforming the life insurance buying process for your clients. Instant underwriting. 100% digital. No medical exam.,afficiency.com
CartUp AI,"Unify your brand across all channels. Product Discovery, Moments, Returns & Exchanges, Order Status. Beyond browsing: The closest thing to in-person shopping. Assist your shopper in every decision-making.",cartup.ai
BuzzCast,"BuzzCast is a new social community for young and active people to meet new friends, find dates, and form meaningful connections easily.",buzzcast.com
EDGE Markets,The Financial Platform for Smart Bettors,edgeboost.bet
Nuqleous,Nuqleous software delivers time-saving retail technology solutions designed specifically for the retail and consumer product industries. Learn more.,nuqleous.com
Ricult,"Developer of a diagnostic, financial and predictive analytics platform designed to help farmers increase farm productivity and access affordable loans. The company's platform uses a combination of traditional and alternative data sources like satellite imagery, agronomic models and weather data to inform farmers on when to irrigate and harvest their fields, provides product price information and determines whether a farmer is willing and able to repay a loan, enabling farmers to implement practices and get access to credit and crop buyers.",web.ricult.com
Fingerprint,"Fingerprint is a leading global provider of digital content for kids and families. The San Francisco-based mobile technology company creates custom kids'​ learning platforms and curates content for customers around the world. Industry leaders in technology, edutainment, broadcast and more license Fingerprint's technology platform and use their content solutions to serve up customized branded mobile networks that help them better connect with mobile families in a kid-safe and meaningful way. Fingerprint is funded by leading media and technology investors including Corus Entertainment, DreamWorks Animation, Reed Elsevier Ventures, Trinity Capital Investment and GSV.",fingerprintplay.com
Glydways,"Operator of a transportation system company designed to transform mobility and public transportation. The company's system offers to operate profitably at existing mass transit fares, is efficient by design, has a small physical and environmental footprint with zero greenhouse gas emissions, and offers a personal, private car experience, enabling passengers to have an experience at improved capacity for the low cost and carbon footprint.",glydways.com
Zone7,Enable greater durability across your high performance organization through our AI powered insights. Zone7 is a svexa company.,zone7.ai
Paige,"Developer of a computational pathology module platform designed for rapid diagnostic stratification and cancer detection. The company's tool follows a deep learning algorithm based on convolutional and recurrent neural networks and generative models focused on breast, prostate, and other major types of cancer, allowing clinical researchers and pathologists to understand the progress of diseases with various mutations for efficient treatment.",paige.ai
methinks,"Leading remote video research app, create customer insights via video chat interviews on mobile or PC. Perfect for product testing, UX research, usability",methinks.io
BACKBONE,"Backbone Technology is a full-service web development company offering integrated digital design and creative services along with custom application development, e-business solutions, and server/network administration. We have offices in Vancouver, Medellín, Athens and Bogotá.",backbone.digital
Zuper,"The best field service management software for businesses of any size. Simplify work orders, estimates, invoices, scheduling, timesheets etc.",zuper.co
